region;pop
TR903;224978
TR904;171641
TR905;84900
TR906;81325
TRA;1079548
TRA1;538847
TRA11;382169
TRA12;114841
TRA13;41837
TRA2;540701
TRA21;258312
TRA22;138742
TRA23;97025
TRA24;46622
TRB;1933299
TRB1;876171
TRB11;401916
TRB12;297683
TRB13;137994
TRB14;38578
TRB2;1057128
TRB21;558713
TRB22;200275
TRB23;168292
TRB24;129848
TRC;4435910
TRC1;1404888
TRC11;1024565
TRC12;310353
TRC13;69970
TRC2;1897813
TRC21;1027650
TRC22;870163
TRC3;1133209
TRC31;417855
TRC32;302398
TRC33;251887
TRC34;161069
